Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
11/28/2014,524,538,521.75,532.95,527.2734413,3075549,16463,1621655305,2673692,86.93,16.25,8.95
12/1/2014,538.5,540,530.6,536.15,534.4870342,324160,11200,173259317,105165,32.44,9.4,-2.35
12/2/2014,537,537,528.35,529,530.6748855,358406,6996,190197063,133182,37.16,8.65,-8
12/3/2014,536.4,538.6,526.5,528.5,532.2220172,369066,10620,196425051,90811,24.61,12.1,-7.9
12/4/2014,532,537.05,522,527.9,526.8855797,365713,11126,192688906,109473,29.93,15.05,-4.1
12/5/2014,526,530.75,522.75,524.8,526.1927869,194868,5908,102538136,29268,15.02,8,-1.2
12/8/2014,524.6,530.45,513.7,515.8,521.7226463,279542,8069,145843392,83936,30.03,16.75,-8.8
12/9/2014,515,520.75,501.25,503.1,509.1315831,477660,15940,243191792,190178,39.81,19.5,-11.9
12/10/2014,498,514.75,493,510.8,505.7190681,425516,13131,215191555,84449,19.85,21.75,12.8
12/11/2014,509.5,512.5,498.2,504,504.8037489,433246,11778,218704205,72096,16.64,14.3,-5.5
12/12/2014,500.25,507.7,495.5,500,502.6092431,341248,9433,171514399,63612,18.64,12.2,-0.25
12/15/2014,496,501.85,492.35,493.8,496.6506011,239414,7525,118905107,62361,26.05,9.5,-2.2
12/16/2014,491,491.4,478.6,481.85,483.861645,331242,13835,160275299,98505,29.74,12.8,-9.15
12/17/2014,480,485.9,469,475.8,475.420876,662599,13992,315013397,409312,61.77,16.9,-4.2
12/18/2014,480.5,489.95,480.5,485.05,484.9681122,250190,9639,121334172,55697,22.26,9.45,4.55
12/19/2014,489,497.85,484,486,490.9881231,361289,11915,177388608,81141,22.46,13.85,-3
12/22/2014,486.1,496.9,481.75,494.3,489.6382402,191066,7006,93553220,42177,22.07,15.15,8.2
12/23/2014,495,501.2,485.6,487.9,492.510163,203041,8336,99999756,44380,21.86,15.6,-7.1
12/24/2014,489,492.7,482.7,485.45,487.6788179,284745,8122,138864105,52829,18.55,10,-3.55
12/26/2014,485.9,487.75,479.5,485.05,482.7925595,429757,7609,207483482,238073,55.4,8.25,-0.85
12/29/2014,485.9,497.8,485,494.95,494.9034928,280290,9174,138716500,102314,36.5,12.8,9.05
12/30/2014,498.15,499.7,490.5,493.9,494.1664535,193928,5016,95832712,48568,25.04,9.2,-4.25
12/31/2014,494.55,498.45,491.1,496.1,495.1422847,293229,9275,145190077,48654,16.59,7.35,1.55
1/1/2015,492.6,499.75,492.6,498.25,496.4318463,107485,3623,53358977,14949,13.91,7.15,5.65
1/2/2015,496.5,516.9,496.5,511.7,510.4024442,299490,11323,152860428,56737,18.94,20.4,15.2
1/5/2015,511.4,526,507.4,524.1,518.5695204,583670,16168,302673472,164306,28.15,18.6,12.7
1/6/2015,514.8,514.8,499,501.1,504.6104415,495466,17145,250017317,118379,23.89,15.8,-13.7
1/7/2015,496.35,500.7,489.4,494,494.4810729,561630,20698,277715405,159325,28.37,11.3,-2.35
1/8/2015,503.35,514.8,501.55,512.2,508.0428576,349366,14629,177492901,86544,24.77,13.25,8.85
1/9/2015,518.6,525,516,521.85,520.800605,345099,13660,179727768,65878,19.09,9,3.25
1/12/2015,518,524.75,512.1,522.4,518.4969738,274107,8231,142123650,65528,23.91,12.65,4.4
1/13/2015,522.3,526,515.6,519.55,520.4378321,348572,15820,181410056,96088,27.57,10.4,-2.75
1/14/2015,520.55,526.65,514.3,520.35,519.7189892,521222,15327,270888971,211258,40.53,12.35,-0.2
1/15/2015,530,536,523.75,532.45,530.5480672,474617,18328,251807132,181269,38.19,12.25,2.45
1/16/2015,530,531.5,522.5,525.6,526.3719181,277994,10503,146328235,73336,26.38,9,-4.4
1/19/2015,526,539.7,523.3,538.75,534.3548649,368560,12182,196941829,145257,39.41,16.4,12.75
1/20/2015,536.25,561.6,535.1,559.1,547.6653675,571137,19912,312791955,235203,41.18,26.5,22.85
1/21/2015,556,559.65,546.55,551.4,551.7872869,407831,16768,225035961,116383,28.54,13.1,-4.6
1/22/2015,550.55,569,548.75,566.3,561.8240172,416660,18554,234089595,101918,24.46,20.25,15.75
1/23/2015,573.65,590.75,573.5,587.9,582.0079283,639606,20102,372255763,193675,30.28,17.25,14.25
1/27/2015,593.05,608.4,593.05,605.1,601.3510866,485638,14979,292038939,211728,43.6,15.35,12.05
1/28/2015,600,602.9,587.15,589.15,592.3149767,435737,14335,258093551,132546,30.42,15.75,-10.85
1/29/2015,586.7,601,581,597.5,591.5586822,317098,14397,187582075,63146,19.91,20,10.8
1/30/2015,601.15,603.95,581.05,584.95,588.2598635,387769,18238,228108939,112848,29.1,22.9,-16.2
2/2/2015,585,595.7,581.65,592.3,588.3192094,273366,10292,160826469,53590,19.6,14.05,7.3
2/3/2015,597,612.05,595.25,602.05,605.2558473,658975,23136,398848472,177932,27,16.8,5.05
2/4/2015,606,606.6,588.55,591.85,594.5093515,275786,9942,163957356,42190,15.3,18.05,-14.15
2/5/2015,589,602.85,582.1,589.55,594.0925147,678930,25150,403347231,104231,15.35,20.75,0.55
2/6/2015,580,580,552.75,559.75,560.21985,893964,27567,500816378,111911,12.52,27.25,-20.25
2/9/2015,551,554.2,541.1,542.6,547.5402441,332707,10276,182170472,85267,25.63,13.1,-8.4
2/10/2015,544,567.8,542.6,564.35,556.8030566,436699,15007,243155338,81388,18.64,25.2,20.35
2/11/2015,568,570.5,554,559.25,559.3059342,243487,8845,136183724,36836,15.13,16.5,-8.75
2/12/2015,562,565.75,553,562.6,560.3108944,233909,9068,131061761,52778,22.56,12.75,0.6
2/13/2015,564.2,567.3,555.85,565.65,562.6164532,231930,7695,130487634,45404,19.58,11.45,1.45
2/16/2015,565.5,580.45,565.5,573.95,575.3318164,277527,10996,159670113,57596,20.75,14.95,8.45
2/18/2015,573.5,585.75,561,583.1,577.9709835,587563,14580,339594365,71729,12.21,24.75,9.6
2/19/2015,584,592.5,572.75,576.7,580.9706725,488756,17881,283952902,151361,30.97,19.75,-7.3
2/20/2015,580,584.4,573,578.8,579.0728094,319519,12651,185024765,35542,11.12,11.4,-1.2
2/23/2015,579.1,584.2,571,573.95,579.7474281,506232,10599,293486700,353582,69.85,13.2,-5.15
2/24/2015,575,578,560.2,565.05,565.6024597,236781,8459,133923916,65815,27.8,17.8,-9.95
2/25/2015,568.9,575.3,564.45,567.35,570.2213926,155091,7674,88436206,22801,14.7,10.85,-1.55
2/26/2015,569.5,572.3,558.2,560.2,564.7007175,228854,11683,129234018,64442,28.16,14.1,-9.3
2/27/2015,568,581,563.9,575.5,574.0281886,222785,8569,127884870,47036,21.11,17.1,7.5
2/28/2015,576.25,599.15,564.6,593.65,581.1253008,657330,24669,381991094,77786,11.83,34.55,17.4
3/2/2015,598,600.5,573.7,584.15,583.9310188,499629,19522,291748871,67261,13.46,26.8,-13.85
3/3/2015,583.45,583.45,572.5,574.6,575.2416986,254656,8744,146488750,44179,17.35,10.95,-8.85
3/4/2015,583.9,592,571,573.85,582.4880502,522186,17045,304167105,137317,26.3,21,-10.05
3/5/2015,575.15,577.55,568.2,570.65,571.6161979,251119,9387,143543688,40862,16.27,9.35,-4.5
